Enb Id,Cell Number,Cell Id,District,Latitude,Longitude,Provider,Bands,PCI,RSRP [dBm],Uplink Freq [MHz],Downlink Freq [MHz],Freq band,Direction
168990,0,43261440,Mitte,48.76665,11.4291,Telekom,8,202(67/1),-84,909.9,954.9,E-GSM (B8 FDD),0
168990,1,43261441,Mitte,48.76665,11.4291,Telekom,8,201(67/0),-104,909.9,954.9,E-GSM (B8 FDD),0
168990,2,43261442,Mitte,48.76665,11.4291,Telekom,8,203(67/2),-74,909.9,954.9,E-GSM (B8 FDD),0
142473,6,36473094,Mitte,48.76494,11.42805,Telekom,"3, 7",333(111/0),-81,2530,2650,IMT-E(B7 FDD),0
142473,7,36473095,Mitte,48.76494,11.42805,Telekom,"3, 7",334(111/1),-86,2530,2650,IMT-E(B7 FDD),0
142473,8,36473096,Mitte,48.76494,11.42805,Telekom,"3, 7",335(111/2),-85,2530,2650,IMT-E(B7 FDD),0
106803,0,27341568,Mitte,48.76299,11.42564,Telekom,"3,7,8",124(41/1),-66,1720,1815,DCS(B3 FDD),0
106803,1,27341569,Mitte,48.76299,11.42564,Telekom,"3,7,8",125(41/2),-66,1720,1815,DCS(B3 FDD),0
106803,2,27341570,Mitte,48.76299,11.42564,Telekom,"3,7,8",123(41/0),-66,1720,1815,DCS(B3 FDD),0
129181,3,33070339,Mitte,48.76258,11.421,Telekom,"3, 7",164(54/2),-75,2530,2650,IMT-E(B7 FDD),0
129181,4,33070340,Mitte,48.76258,11.421,Telekom,"3, 7",163(54/1),-66,2530,2650,IMT-E(B7 FDD),0
129181,5,33070341,Mitte,48.76258,11.421,Telekom,"3, 7",162(54/0),-89,2530,2650,IMT-E(B7 FDD),0
129101,0,33049856,Mitte,48.76695,11.42168,Telekom,"3, 7",135(45/0),-72,1720,1815,DCS(B3 FDD),0
129101,1,33049857,Mitte,48.76695,11.42168,Telekom,"3, 7",137(45/2),-66,1720,1815,DCS(B3 FDD),0
129101,2,33049858,Mitte,48.76695,11.42168,Telekom,"3, 7",136(45/1),-72,1720,1815,DCS(B3 FDD),0
129256,0,33089536,Mitte,48.76628,11.413499,Telekom,"3, 7",482(160/2),-80,1720,1815,DCS(B3 FDD),0
129256,1,33089537,Mitte,48.76628,11.413499,Telekom,"3, 7",480(160/0),-67,1720,1815,DCS(B3 FDD),0
129256,2,33089538,Mitte,48.76628,11.413499,Telekom,"3, 7",481(160/1),-65,1720,1815,DCS(B3 FDD),0
118595,0,30360320,Mitte,48.76272,11.411,Telekom,"3, 7",398(132/2),-63,1720,1815,DCS(B3 FDD),0
118595,3,30360323,Mitte,48.76272,11.411,Telekom,"3, 7",476(158/2),-77,2530,2650,IMT-E(B7 FDD),0
118595,4,30360324,Mitte,48.76272,11.411,Telekom,"3, 7",475(158/1),-72,2530,2650,IMT-E(B7 FDD),0
129090,0,33047040,Mitte,48.766571,11.440498,Telekom,"1, 3, 7, 8",464(154/2),-80,1720,1815,DCS(B3 FDD),0
129090,1,33047041,Mitte,48.766571,11.440498,Telekom,"1, 3, 7, 8",462(154/0),-70,1720,1815,DCS(B3 FDD),0
129090,2,33047042,Mitte,48.766571,11.440498,Telekom,"1, 3, 7, 8",463(154/1),-71,1720,1815,DCS(B3 FDD),0
